ID,Section,EAC 3-2  (130561),EAC 5-2  (130562),EAC 5-4 (162053),Extension #1 (130570),Extension #2 (130571),"""Yes"" or ""No"" Exam Questions Available (130550)",Exam Question Correctness Confirmations Available (130569),Exam Hint Requests Available (130568),Exam Error Detections Available (130567),Autocompletion Points Available (130552),Quest Log 1 (130576),Quest Log 2 (130577),Quest Log 3 (130578),Quest Log 4 (130579),Quest Log 5 (130580),Quest Log 6 (130581),Quest Log 7 (130582),Core Components (130560),Features (130572),Sprint 1 COA (130777),Sprint Report 1 (130787),Sprint 2 COA (130780),Sprint Report 2 (130789),Sprint 3 COA (130781),Sprint Report 3 (130790),Sprint 4 COA (130782),Sprint Report 4 (130791),Sprint 5 COA (130783),Sprint Report 5 (130792),Sprint 6 COA (130784),Sprint Report 6 (130793),Sprint 7 COA (130785),Sprint Report 7 (130794),Exam 1 (Almost free Bonus points) (130563),Exam 1 % bonuses (130564),Final Exam (Coding portion) (130573),final bonuses (130584),Exam 2 % bonuses (130566),(Bonus) Case Study 2 (155529),Course Eval completion exam bonus (+2%) (157266),Extensions Survey 2% bonus (159090),final exam (paper) (161444),ABET Current Score,ABET Unposted Current Score,ABET Final Score,ABET Unposted Final Score,Extension Requests Current Score,Extension Requests Unposted Current Score,Extension Requests Final Score,Extension Requests Unposted Final Score,Perks and Buffs Current Score,Perks and Buffs Unposted Current Score,Perks and Buffs Final Score,Perks and Buffs Unposted Final Score,Quest Logs Current Score,Quest Logs Unposted Current Score,Quest Logs Final Score,Quest Logs Unposted Final Score,RPG Project Current Score,RPG Project Unposted Current Score,RPG Project Final Score,RPG Project Unposted Final Score,Other Stuff Current Score,Other Stuff Unposted Current Score,Other Stuff Final Score,Other Stuff Unposted Final Score,Exams 1 and 2 Current Score,Exams 1 and 2 Unposted Current Score,Exams 1 and 2 Final Score,Exams 1 and 2 Unposted Final Score,Final Current Score,Final Unposted Current Score,Final Final Score,Final Unposted Final Score,Current Score,Unposted Current Score,Final Score,Unposted Final Score,Current Grade,Unposted Current Grade,Final Grade,Unposted Final Grade
AUEJO,Data Structures,2,4,4,1,1,2,2,0,0,30,80,40,120,72.25,145,110,34,300,210,20,60,20,60,20,60,15,60,20,60,5,51,17,60,90,0,1,0,0,5,2,0,153,83.33,83.33,83.33,83.33,,,,,,,,,107.5,107.5,107.5,107.5,102.77,102.77,102.77,102.77,,,,,69.23,69.23,69.23,69.23,69.4,69.4,69.4,69.4,95.1,95.1,95.1,95.1,A,A,A,A
BENKL,Data Structures,1,3,4,1,0,1,2,0,0,30,80,65,70,145,130,50,40,300,195,20,60,20,60,20,50,20,60,20,60,20,51,20,51,142,4,0,0,3,5,2,2,139,66.67,66.67,66.67,66.67,,,,,,,,,104.67,104.67,104.67,104.67,101.68,101.68,101.68,101.68,,,,,112.31,112.31,112.31,112.31,65.09,65.09,65.09,65.09,99.28,99.28,99.28,99.28,A,A,A,A
DALKO,Data Structures,2,4,4,1,1,3,1,1,0,120,80,65,107.5,165,145,110,34,300,210,20,60,20,60,20,60,15,60,20,60,5,51,17,60,105,10,40,2,9,5,2,2,147,83.33,83.33,83.33,83.33,,,,,,,,,133.93,133.93,133.93,133.93,102.77,102.77,102.77,102.77,,,,,88.46,88.46,88.46,88.46,89.22,89.22,89.22,89.22,114.17,114.17,114.17,114.17,A,A,A,A
DAYKU,Data Structures,4,4,4,1,1,1,2,0,0,10,80,75,120,105,125,110,50,300,195,20,60,20,50,20,60,20,60,20,60,15,50,20,60,143,7,0,3,2,5,2,2,190,100,100,100,100,,,,,,,,,109.62,109.62,109.62,109.62,101.98,101.98,101.98,101.98,,,,,115.38,115.38,115.38,115.38,87.93,87.93,87.93,87.93,105.7,105.7,105.7,105.7,A,A,A,A
PALLE,Data Structures,3,4,0,1,1,1,1,0,0,25,80,60,60,125,125,90,40,300,195,20,60,20,50,20,60,20,60,20,60,15,50,20,60,108,3,30,0,3,0,2,2,169,58.33,58.33,58.33,58.33,,,,,,,,,100,100,100,100,101.98,101.98,101.98,101.98,,,,,85.38,85.38,85.38,85.38,88.79,88.79,88.79,88.79,96.52,96.52,96.52,96.52,A,A,A,A
IANMC,Data Structures,4,3,4,1,1,1,2,1,0,55,80,75,120,106.25,90,110,40,300,165,20,60,20,60,20,60,20,50,20,20,20,50,20,60,88,9,0,0,2,5,2,0,185,91.67,91.67,91.67,91.67,,,,,,,,,111.67,111.67,111.67,111.67,95.54,95.54,95.54,95.54,,,,,74.62,74.62,74.62,74.62,83.62,83.62,83.62,83.62,98.68,98.68,98.68,98.68,A,A,A,A
NANMO,Data Structures,1,4,3,1,1,2,1,1,0,50,40,60,100,145,95,65,40,300,150,0,60,20,60,20,60,20,60,20,60,10,60,20,60,122,3,40,0,0,0,2,2,125,66.67,66.67,66.67,66.67,,,,,,,,,99.07,99.07,99.07,99.07,97.03,97.03,97.03,97.03,,,,,96.15,96.15,96.15,96.15,72.84,72.84,72.84,72.84,94.29,94.29,94.29,94.29,A,A,A,A
AANNE,Data Structures,3,3,3,1,1,0,1,0,0,0,20,40,10,105,60,110,40,300,165,20,60,0,60,20,20,17,60,20,20,17,20,20,60,82,0,0,0,0,5,0,0,146,75,75,75,75,,,,,,,,,68.81,68.81,68.81,68.81,87.03,87.03,87.03,87.03,,,,,63.08,63.08,63.08,63.08,65.09,65.09,65.09,65.09,71.03,71.03,71.03,71.03,C-,C-,C-,C-
NOHPA,Data Structures,2,2,3,1,1,0,2,0,0,10,68,65,80,145,115,95,40,300,165,20,60,20,60,20,60,20,50,20,20,20,50,20,60,110,2,30,0,0,5,2,2,165,58.33,58.33,58.33,58.33,,,,,,,,,98.72,98.72,98.72,98.72,95.54,95.54,95.54,95.54,,,,,86.15,86.15,86.15,86.15,87.93,87.93,87.93,87.93,94.58,94.58,94.58,94.58,A,A,A,A
JASPE,Data Structures,1,4,4,1,1,3,3,1,0,80,80,75,120,165,145,92,50,300,210,20,60,20,60,20,60,15,60,20,60,5,51,17,60,133,9,35,3,3,5,2,2,153,75,75,75,75,,,,,,,,,133.64,133.64,133.64,133.64,102.77,102.77,102.77,102.77,,,,,109.23,109.23,109.23,109.23,87.5,87.5,87.5,87.5,116.89,116.89,116.89,116.89,A,A,A,A
DALRI,Data Structures,3,3,4,1,0,1,2,0,0,130,0,0,85,105,119,105,42.5,300,195,20,60,20,60,20,50,20,60,20,60,20,51,20,51,69,4,50,9,6,5,2,2,130,83.33,83.33,83.33,83.33,,,,,,,,,103.81,103.81,103.81,103.81,101.68,101.68,101.68,101.68,,,,,56.15,56.15,56.15,56.15,87.93,87.93,87.93,87.93,93.85,93.85,93.85,93.85,A,A,A,A
MILRO,Data Structures,3,4,4,1,1,1,1,0,0,10,70,75,0,145,55,95,50,300,195,20,60,20,50,20,60,20,60,20,60,15,50,20,60,138,4,40,2,2,5,2,2,180,91.67,91.67,91.67,91.67,,,,,,,,,91.74,91.74,91.74,91.74,101.98,101.98,101.98,101.98,,,,,109.23,109.23,109.23,109.23,100.43,100.43,100.43,100.43,97.72,97.72,97.72,97.72,A,A,A,A
JOYST,Data Structures,0,3,4,1,1,1,3,1,0,95,80,75,120,125,155,88,0,300,210,20,60,20,50,20,60,20,60,20,50,20,60,20,43.35,142,11,0,0,5,5,0,0,0,58.33,58.33,58.33,58.33,,,,,,,,,124.03,124.03,124.03,124.03,102.31,102.31,102.31,102.31,,,,,117.69,117.69,117.69,117.69,4.31,4.31,4.31,4.31,100.78,100.78,100.78,100.78,A,A,A,A
PHEST,Data Structures,4,2,4,1,1,0,3,1,0,55,80,45,110,125,102,93.5,50,300,165,20,60,20,60,20,60,20,50,20,20,20,50,20,60,120,3,30,3,0,0,2,2,193,83.33,83.33,83.33,83.33,,,,,,,,,106.38,106.38,106.38,106.38,95.54,95.54,95.54,95.54,,,,,94.62,94.62,94.62,94.62,99.14,99.14,99.14,99.14,101.36,101.36,101.36,101.36,A,A,A,A
MAWSU,Data Structures,2,3,3,1,1,2,1,0,0,0,80,75,80,106.25,114,110,50,300,135,20,60,20,0,20,20,20,10,0,0,10,60,17,60,112,4,0,2,0,0,2,2,152,66.67,66.67,66.67,66.67,,,,,,,,,98.21,98.21,98.21,98.21,74.46,74.46,74.46,74.46,,,,,89.23,89.23,89.23,89.23,68.1,68.1,68.1,68.1,87.6,87.6,87.6,87.6,B+,B+,B+,B+
DRWVA,Data Structures,1,2,1,1,1,0,1,0,0,10,60,65,50,125,0,104,50,300,165,20,60,0,60,20,20,17,60,20,20,17,20,20,60,92,0,40,2,0,5,2,2,130,33.33,33.33,33.33,33.33,,,,,,,,,88.38,88.38,88.38,88.38,87.03,87.03,87.03,87.03,,,,,70.77,70.77,70.77,70.77,78.02,78.02,78.02,78.02,83.91,83.91,83.91,83.91,B-,B-,B-,B-
CHNWO,Data Structures,1,3,1,1,1,1,2,1,0,65,80,50,110,145,45,0,34,300,165,20,60,20,60,20,60,20,50,20,20,20,50,20,60,108,4,30,2,1,0,0,2,90,41.67,41.67,41.67,41.67,,,,,,,,,98.88,98.88,98.88,98.88,95.54,95.54,95.54,95.54,,,,,86.15,86.15,86.15,86.15,53.88,53.88,53.88,53.88,89.55,89.55,89.55,89.55,B+,B+,B+,B+
